level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,4,1,5,4,412,1369,180,35,96.321091,"countries,"
5,1,4,1,5,5,621,1369,110,28,96.683792,which
5,1,4,1,5,6,761,1379,54,20,96.78791,are
5,1,4,1,5,7,843,1369,36,28,95.642715,in
5,1,4,1,5,8,907,1369,228,36,96.312012,alphabetical
5,1,4,1,5,9,1161,1369,110,35,96.312012,"order,"
5,1,4,1,5,10,1299,1369,180,36,96.518295,provinces
5,1,4,1,5,11,1507,1369,68,28,96.890213,and
5,1,4,1,5,12,1604,1369,251,36,96.720367,dependencies
4,1,4,1,6,0,121,1416,1733,37,-1.0,
5,1,4,1,6,1,121,1416,100,37,96.444473,being
5,1,4,1,6,2,247,1417,120,35,96.06881,placed
5,1,4,1,6,3,396,1417,105,28,96.634521,under
5,1,4,1,6,4,532,1416,87,29,96.677559,their
5,1,4,1,6,5,647,1417,133,30,96.259918,mother
5,1,4,1,6,6,808,1420,156,32,96.26326,country.
5,1,4,1,6,7,1005,1416,153,31,96.305954,Treaties
5,1,4,1,6,8,1187,1416,67,28,96.149033,and
5,1,4,1,6,9,1281,1416,245,29,95.502846,international
5,1,4,1,6,10,1555,1420,215,33,95.389328,agreements
5,1,4,1,6,11,1799,1425,55,20,96.332573,are
4,1,4,1,7,0,122,1463,1732,38,-1.0,
5,1,4,1,7,1,122,1464,149,36,96.806717,grouped
5,1,4,1,7,2,299,1464,104,29,96.076004,under
5,1,4,1,7,3,424,1464,55,29,96.784836,the
5,1,4,1,7,4,504,1464,148,37,93.303566,heading
5,1,4,1,7,5,679,1463,18,13,61.687134,‘‘
5,1,4,1,7,6,715,1464,284,29,89.952873,International’’
5,1,4,1,7,7,1028,1465,67,28,96.820488,and
5,1,4,1,7,8,1119,1464,120,37,96.716011,placed
5,1,4,1,7,9,1267,1464,85,29,96.164734,after
5,1,4,1,7,10,1381,1464,57,29,96.164734,the
5,1,4,1,7,11,1464,1464,156,29,96.372375,national
5,1,4,1,7,12,1647,1464,207,37,96.372375,legislation.
4,1,4,1,8,0,121,1511,1735,37,-1.0,
5,1,4,1,8,1,121,1511,71,29,95.841141,The
5,1,4,1,8,2,225,1511,183,29,95.50312,territories
5,1,4,1,8,3,439,1511,244,29,96.328674,administered
5,1,4,1,8,4,715,1512,45,35,96.89061,by
5,1,4,1,8,5,783,1512,136,29,96.696571,various
5,1,4,1,8,6,951,1511,132,30,96.706024,Powers
5,1,4,1,8,7,1115,1512,105,28,96.369911,under
5,1,4,1,8,8,1252,1511,180,29,96.564224,mandates
5,1,4,1,8,9,1458,1511,85,29,95.340172,from
5,1,4,1,8,10,1579,1512,55,29,95.340172,the
5,1,4,1,8,11,1662,1512,133,36,96.701378,League
5,1,4,1,8,12,1820,1512,36,29,96.771797,of
4,1,4,1,9,0,122,1557,1733,39,-1.0,
5,1,4,1,9,1,122,1559,145,29,96.576797,Nations
5,1,4,1,9,2,283,1567,53,21,96.597496,are
5,1,4,1,9,3,353,1559,150,36,96.903282,grouped
5,1,4,1,9,4,520,1559,155,37,96.594009,together
5,1,4,1,9,5,691,1559,105,29,96.612289,under
5,1,4,1,9,6,815,1559,54,29,96.803604,the
5,1,4,1,9,7,885,1559,147,37,93.295395,heading
5,1,4,1,9,8,1048,1559,19,13,53.77681,‘‘
5,1,4,1,9,9,1085,1559,131,36,96.263145,League
5,1,4,1,9,10,1231,1559,36,28,95.669792,of
5,1,4,1,9,11,1281,1559,146,29,59.110649,Nations
5,1,4,1,9,12,1443,1559,31,28,59.110649,’’.
5,1,4,1,9,13,1500,1557,40,30,95.489876,In
5,1,4,1,9,14,1564,1563,91,25,95.763161,most
5,1,4,1,9,15,1679,1568,95,21,95.763161,cases
5,1,4,1,9,16,1799,1559,56,29,96.876289,the
4,1,4,1,10,0,125,1605,1730,38,-1.0,
5,1,4,1,10,1,125,1605,72,30,96.636459,title
5,1,4,1,10,2,221,1605,95,30,96.189606,alone
5,1,4,1,10,3,339,1605,26,30,96.189606,is
5,1,4,1,10,4,389,1607,110,36,96.664726,"given,"
5,1,4,1,10,5,523,1605,62,30,96.392242,but
5,1,4,1,10,6,605,1605,87,30,96.501617,brief
5,1,4,1,10,7,714,1609,97,27,96.586662,notes
5,1,4,1,10,8,835,1616,55,20,96.163658,are
5,1,4,1,10,9,913,1607,111,29,96.487968,added
5,1,4,1,10,10,1040,1607,120,29,96.71434,within
5,1,4,1,10,11,1177,1615,122,28,96.922127,square
5,1,4,1,10,12,1319,1605,157,31,96.457947,brackets
5,1,4,1,10,13,1495,1607,171,29,96.332718,wherever
5,1,4,1,10,14,1696,1607,56,29,96.238037,the
5,1,4,1,10,15,1780,1607,75,29,96.428673,title
4,1,4,1,11,0,122,1653,687,36,-1.0,
5,1,4,1,11,1,122,1653,29,30,95.838211,is
5,1,4,1,11,2,176,1656,60,25,95.838211,not
5,1,4,1,11,3,261,1653,208,36,95.774628,sufficiently
5,1,4,1,11,4,495,1653,314,36,95.877373,self-explanatory.
3,1,4,2,0,0,122,1700,1738,417,-1.0,
4,1,4,2,1,0,166,1700,1689,37,-1.0,
5,1,4,2,1,1,166,1700,109,29,95.518715,When
5,1,4,2,1,2,283,1696,24,47,95.518715,a
5,1,4,2,1,3,340,1700,61,28,95.632179,law
5,1,4,2,1,4,426,1700,61,29,96.601372,has
5,1,4,2,1,5,509,1701,86,28,96.731209,been
5,1,4,2,1,6,619,1700,180,37,96.214943,published
5,1,4,2,1,7,821,1701,35,28,96.690628,in
5,1,4,2,1,8,881,1701,57,30,96.737862,the
5,1,4,2,1,9,963,1701,201,36,96.024376,Legislative
5,1,4,2,1,10,1191,1701,108,30,96.51693,Series
5,1,4,2,1,11,1321,1701,109,30,96.817986,either
5,1,4,2,1,12,1455,1701,84,35,96.887093,fully
5,1,4,2,1,13,1562,1709,37,20,96.537132,or
5,1,4,2,1,14,1623,1701,36,28,96.907829,in
5,1,4,2,1,15,1682,1705,90,32,96.797455,"part,"
5,1,4,2,1,16,1800,1703,55,29,96.316689,the
4,1,4,2,2,0,124,1748,1731,37,-1.0,
5,1,4,2,2,1,124,1748,141,29,96.119247,number
5,1,4,2,2,2,285,1748,36,28,95.666138,of
5,1,4,2,2,3,343,1748,54,29,96.337563,the
5,1,4,2,2,4,419,1748,162,29,96.649712,brochure
5,1,4,2,2,5,604,1748,35,28,95.702011,in
5,1,4,2,2,6,663,1748,54,29,96.860123,the
5,1,4,2,2,7,740,1748,203,37,95.802528,Legislative
5,1,4,2,2,8,967,1749,105,30,96.401535,Series
5,1,4,2,2,9,1094,1748,108,29,96.536301,which
5,1,4,2,2,10,1223,1748,157,29,96.584641,contains
5,1,4,2,2,11,1400,1749,27,28,96.466827,it
5,1,4,2,2,12,1448,1749,27,30,96.219582,is
5,1,4,2,2,13,1496,1749,102,36,96.212616,given
5,1,4,2,2,14,1618,1749,157,36,96.617928,opposite
5,1,4,2,2,15,1800,1749,55,30,96.873993,the
4,1,4,2,3,0,125,1793,1730,40,-1.0,
5,1,4,2,3,1,125,1795,84,36,96.222954,"title,"
5,1,4,2,3,2,228,1804,44,20,96.553947,on
5,1,4,2,3,3,292,1795,56,29,96.765617,the
5,1,4,2,3,4,367,1795,89,37,96.232452,right
5,1,4,2,3,5,475,1795,90,30,96.590698,hand
5,1,4,2,3,6,585,1796,71,29,96.273933,side
5,1,4,2,3,7,671,1796,36,28,96.273933,of
5,1,4,2,3,8,725,1796,56,29,96.284653,the
5,1,4,2,3,9,796,1804,96,28,96.337524,"page,"
5,1,4,2,3,10,908,1797,35,28,96.751259,in
5,1,4,2,3,11,957,1796,100,29,96.263855,black
5,1,4,2,3,12,1072,1800,96,33,96.263855,type:
5,1,4,2,3,13,1195,1795,111,32,96.727272,Text:
5,1,4,2,3,14,1327,1793,75,32,76.098671,Bel.
5,1,4,2,3,15,1420,1793,18,32,76.098671,1
5,1,4,2,3,16,1463,1804,37,20,96.466141,or
5,1,4,2,3,17,1524,1795,176,33,95.88752,Extract:
5,1,4,2,3,18,1727,1793,79,34,95.235458,Int.
5,1,4,2,3,19,1820,1795,35,32,96.093781,6.
4,1,4,2,4,0,122,1841,1733,32,-1.0,
5,1,4,2,4,1,122,1843,71,29,94.937759,The
5,1,4,2,4,2,212,1843,116,29,94.937759,letters
5,1,4,2,4,3,347,1843,66,28,91.697777,and
5,1,4,2,4,4,441,1843,234,29,91.368553,unbracketed
5,1,4,2,4,5,702,1844,161,29,95.860199,numbers
5,1,4,2,4,6,891,1844,85,29,96.473618,after
5,1,4,2,4,7,1007,1844,55,29,96.473618,the
5,1,4,2,4,8,1088,1844,94,28,93.299423,word
5,1,4,2,4,9,1211,1841,19,14,56.166058,‘‘
5,1,4,2,4,10,1244,1843,123,29,54.153671,Text’’
5,1,4,2,4,11,1396,1852,38,20,92.218109,or
5,1,4,2,4,12,1463,1843,19,13,82.929367,‘‘
5,1,4,2,4,13,1499,1844,183,29,25.248016,Extract’
5,1,4,2,4,14,1714,1852,53,21,94.497299,are
