country,region,text,page
BELGIUM,,"Dec. 18 Order to issue scales for the free old pension bonus, under the Act of 14th July,  1930°’, respecting insurance against old age and premature death amended  by the Act of 23rd July, 193258, and the Orders of 31st May, 19335"", 14th July,  1933°9, and 8th November, 1934. (M. p. 6726)  ",1
BELGIUM,,"Dec. 22 Order to amend and supplement certain provisions of the Act of Ist August,  1930, for the purpose of consolidating the position of the National Miners’  Pension Fund set up by the said Act. (M. p. 6747) Text: Bel. 9  ",1
BELGIUM,,"Dec. 29 Order to amend and supplement the Order of 31st May, 19338!, to vary the  system of insurance against involuntary unemployment. (M. p. 6855;  erratum: 1935, Pp. 177) Text: Bel. 10  ",1
Belgian GENERAL GOVERNMENT,,"Jan. 8 Decree to amend {section 32 of] the Decree [of 31st October, 1931] respecting  the contract of employment [employers’ deposits]. (Bulletin officiel du Congo  belge, no. I, p. 61)  ",1
Belgian GENERAL GOVERNMENT,,"Jan. 12 Legislative Ordinance no. 4, to suspend, in so far as concerns the engagement  of unemployed persons locally, the application of certain provisions of the  Decrees of 31st October, 1931, respecting the contract of employment, and  of 12th July, 1920, respecting the maintenance and repatriation of indigent  persons. (B.A.C. no. 2, p. 57)  ",1
Belgian GENERAL GOVERNMENT,,"Jan. 16 Ordinance no. 7, to impose certain obligations upon persons holding mining  concessions for the purpose of ensuring the protection and economical use  of the native labour employed. (B.A.C. no. 2, p. 65) Text: Bel. 1  ",1
Belgian GENERAL GOVERNMENT,,"Jan. 27 Ordinance no. 15dis respecting air navigation [§§ 32—93, certificates of  competency; §§ 94—II5, airworthiness]. (B.A.C. no. 6, p. 175)  ",1
Belgian GENERAL GOVERNMENT,,"Feb. 13 Ordinance no. 18, to amend the provisions respecting the setting up of  committees and sub-committees for native labour. (B.A.C. no. 4, p. 134)  ",1
Belgian GENERAL GOVERNMENT,,"May 3 Decree to suspend the application of certain provisions of the Decree of  31st October, 1931, respecting the contract of employment, and the Decree  of I2th July, 1920, respecting the maintenance and repatriation of persons  who are not natives of the Congo or the neighbouring colonies. (Bulletin  officiel du Congo belge, no. 6, p. 467)  ",1
Belgian GENERAL GOVERNMENT,,"June 2 Ordinance no. 57, for the administration of the Decree {of rst April, 1933]**  to issue regulations for agreements in river navigation. (B.A.C. no. 12, p. 472)  ",1
Belgian GENERAL GOVERNMENT,,"July 19 Decree to amend section 13 of the Decree of 16th March, 1922, respecting the  contract of employment between natives and civilised employers®™ (the  following provision is added to § 13:-—‘‘ The provincial commissioners may  decide that employers shall be bound to provide board and lodging for their  employees, notwithstanding any agreement to the contrary.’’}. (Bulletin  officiel du Congo belge, no. 8, p. 724)  ",1
Belgian GENERAL GOVERNMENT,,"Aug. 6 Ordinance no. 66, to amend sections 6, 9, 13 and 16 of Ordinance no. 55 of  18th June, 1930, respecting industrial hygiene and safety and to prescribe  measures for carrying out contracts of employment between natives and  civilised employers. (B.A.C. no. 15, p. 545)  ",1
Belgian GENERAL GOVERNMENT,Elisabethville PROVINCES,"Sept. 25 Order no. 129, to amend Ordinance no. 80 of 30th August, 1932 [for the  province of Katanga] respecting the health and safety of employees [ve supply  of clothing to employees]. (B.A.C. no. 20, p. 613)  ",1
Belgian GENERAL GOVERNMENT,Stanleyviile,"Dec. 15. Order no. 32, to fix the security for labour permits and to prescribe certain  requirements with respect to the recruiting, engagement and rations of  workers. (B.A.C. 1935, no. 2, p. 50)  ",1
Belgian GENERAL GOVERNMENT,Stanleyviile,M.= Moniteur belge.  ,1
Belgian GENERAL GOVERNMENT,Stanleyviile,R.T. = Revue du Travail.  ,1
Belgian GENERAL GOVERNMENT,Stanleyviile,B.A.C. = Bulletin administratif du Congo belge.  ,1
Belgian GENERAL GOVERNMENT,Stanleyviile,"62 LS. 1930 (Bel. 8); amendments, 1931 (Bel. 6). — ®° L.S. 1933 (Bel. 8). — 64 L.S. 1931  (Bel. 4, B). —®5 L.S. 1930 (Bel. 15, A); amendments, Ordinances no. 42 of 11th June, 1931,  no. 10 of 12th February, 1932, no. 51 of 21st April, 1932, and no. 125 of 8th September, 1932.  ",1
