country,region,text,date,year,page,extracted_date,full_text
INTERNATIONAL,Austria—Yugoslavia,"Treaty between the Republic of Austria and the Kingdom of Yugoslavia respecting social insurance. (Austria: Bundesgesetzblatt, 1934, no. 5, p. 59; Yugoslavia: Sluzbene Novine, 2932, nO. 2z8,—CVIII, p. 1198) Text: hit. 7",22.7.,1931,4,July 22,"July 22 Treaty between the Republic of Austria and the Kingdom of Yugoslavia respecting social insurance. (Austria: Bundesgesetzblatt, 1934, no. 5, p. 59; Yugoslavia: Sluzbene Novine, 2932, nO. 2z8,—CVIII, p. 1198) Text: hit. 7 "
INTERNATIONAL,Belgiu rn—France,"Agreement between Belgium and France respecting French frontier workers. (Belgium: Moniteur beige, no. 240, p. 4932; France: Journal officiel, no. 265, p. 7701) Text: list. 3",3.3.,1931,4,Mar. 3,"Mar. 3! Agreement between Belgium and France respecting French frontier workers. (Belgium: Moniteur beige, no. 240, p. 4932; France: Journal officiel, no. 265, p. 7701) Text: list. 3 "
INTERNATIONAL,Belgium—Germany,"Convention between Belgium and Germany respecting accident insurance in agricultural undertakings operating on both sides of the frontier. (Germany: Reichsgesetzblatt II, 2933, no. 58, p. '037) Text: list. 11",16.7.,1931,4,July 16,"July 16 Convention between Belgium and Germany respecting accident insurance in agricultural undertakings operating on both sides of the frontier. (Germany: Reichsgesetzblatt II, 2933, no. 58, p. '037) Text: list. 11 "
INTERNATIONAL,Belgium—Netherlands,"s Siinla Rules, 2932: General Rules relating to construction and life-saving appliances on ships employed in the carriage of large numbers of unberthed passengers in special trades [under Articles 4, paragraph 6 (b), and II, para- graph s (d), of the International Convention for the Safety of Life at Sea, 2929]. (Netherlands: Staatsblad, 2932, 00. 539, p. 378)",1.6.,1931,4,June i,"June is Siinla Rules, 2932: General Rules relating to construction and life-saving appliances on ships employed in the carriage of large numbers of unberthed passengers in special trades [under Articles 4, paragraph 6 (b), and II, para- graph s (d), of the International Convention for the Safety of Life at Sea, 2929]. (Netherlands: Staatsblad, 2932, 00. 539, p. 378) "
INTERNATIONAL,Denmark—Finland,"Agreement concluded between Denmark and Finland respecting attendance on seamen during sickness, the repatriation of seamen, and other matters. (Denmark: Lovtidenden A: —no. 29, p. 2453; Finland: Suomen Asetuskokoel- ma (Finlands Forfattningssamiing), no. 240, p. 581) Text: lot. 2",9.7.,1931,4,July 9,"July 9 Agreement concluded between Denmark and Finland respecting attendance on seamen during sickness, the repatriation of seamen, and other matters. (Denmark: Lovtidenden A: —no. 29, p. 2453; Finland: Suomen Asetuskokoel- ma (Finlands Forfattningssamiing), no. 240, p. 581) Text: lot. 2 "
INTERNATIONAL,Denmark—Free City of Danzig—Poland,"Agreement between Denmark and Poland and the Free City of Danzig respecting mutual recognition of tonnage certificates. (Denmark: Lovtidenden A.—no. 45, p. 2972)",15.10.,1931,4,Oct. 15,"Oct. 15 Agreement between Denmark and Poland and the Free City of Danzig respecting mutual recognition of tonnage certificates. (Denmark: Lovtidenden A.—no. 45, p. 2972) "
INTERNATIONAL,Estonia—Finland,"Declaration between Estonia and Finland respecting the mutual recognition of tonnage measurement certificates. (Estonia: Riigi Teataja, nO. 72, p. 973; Finland: Suomen Asetuskokoelma (Finlands Forfattningssamling), 00. 242, p. 590)",17.7.,1931,4,July 17,"July 17 Declaration between Estonia and Finland respecting the mutual recognition of tonnage measurement certificates. (Estonia: Riigi Teataja, nO. 72, p. 973; Finland: Suomen Asetuskokoelma (Finlands Forfattningssamling), 00. 242, p. 590) "
INTERNATIONAL,Estonla— Iceland,"Declaration respecting the reciprocal recognition of Estonian and Icelandic tonnage certificates. (Estoma: Riigi Teataja, no. 51, p. 700)",30.5.,1931,4,May 30,"May 30 Declaration respecting the reciprocal recognition of Estonian and Icelandic tonnage certificates. (Estoma: Riigi Teataja, no. 51, p. 700) "
INTERNATIONAL,Germany—Lithuania,"Convention between Germany and Lithuania respecting the sickness insurance of nationals of both States. (Lithuania: Vyriausybhs no. 370, 4; Klaipedos Kraszto Waldgios (Amtsblatt des Memelgebietes), no. 142, p. 1074) Text: mt. 8",9.11.,1931,5,Nov. 9,"Nov. 9 Convention between Germany and Lithuania respecting the sickness insurance of nationals of both States. (Lithuania: Vyriausybhs no. 370, 4; Klaipedos Kraszto Waldgios (Amtsblatt des Memelgebietes), no. 142, p. 1074) Text: mt. 8 "
INTERNATIONAL,Germany—Poland,"Treaty between the German Federation and the Republic of Poland respect- ing social insurance. (Germany: Reichsgesetzblatt II, 1933, GO. 37, p. 645: Poland: Dziennik Ustaw, 1933, no. 6",11.6.,1931,5,June ii,"June ii Treaty between the German Federation and the Republic of Poland respect- ing social insurance. (Germany: Reichsgesetzblatt II, 1933, GO. 37, p. 645: Poland: Dziennik Ustaw, 1933, no. 6 "
INTERNATIONAL,Great Britain—Netherlands,j Agreement respecting the admission of student employees into the United,12.1.,1931,5,Jan. 12,Jan. 12 j Agreement respecting the admission of student employees into the United 
INTERNATIONAL,Great Britain—Netherlands,Kingdom from the Netherlands. Text: mt. 4,23.3.,1931,5,Mar. 23,Mar. 23 Kingdom from the Netherlands. Text: mt. 4 
ALBANIA,,"Act to amend no. 4 of section 3 and section z6 of the Act of 14th March, 1929, respecting the establishment of economic councils. (F.Z. no. 3, p. so)",2.1.,1931,5,Jan. 2,"Jan. 2 Act to amend no. 4 of section 3 and section z6 of the Act of 14th March, 1929, respecting the establishment of economic councils. (F.Z. no. 3, p. so) "
ALBANIA,,"Legislative Decree respecting the settlement of emigrants [i.e. persons of Albanian descent and speech who wish to settle in Albania and not return to their country of origin]. (F.Z. no. 63, p. i)",2.9.,1931,5,Sept. 2,"Sept. 2 Legislative Decree respecting the settlement of emigrants [i.e. persons of Albanian descent and speech who wish to settle in Albania and not return to their country of origin]. (F.Z. no. 63, p. i) "
ALBANIA,,"Order to ratify the Commercial Code and provide for its administration. (F.Z. nO. 76, p. 1)",21.11.,1931,5,Nov. 21,"Nov. 21 Order to ratify the Commercial Code and provide for its administration. (F.Z. nO. 76, p. 1) "
ARGENTINE,,"s Decree no. 822, to amendcertainsectionsof the Decree of 31st December, 1930, issuing regulations respecting the employment of persons engaged in the railway services3. (B.O. no. 11,042, p. 86) Extracts: Arg. 1",1.2.,1931,6,Feb. i,"Feb. is Decree no. 822, to amendcertainsectionsof the Decree of 31st December, 1930, issuing regulations respecting the employment of persons engaged in the railway services3. (B.O. no. 11,042, p. 86) Extracts: Arg. 1 "
ARGENTINE,,"Decree no. 339, respecting the manner in which fines shall be imposed on seamen guilty of contravening the provisions of the Immigration Act [no. 817 of 6th October, 2876]. (B.O. no. ix,o87, p. 7)",18.3.,1931,6,Mar. i8,"Mar. i8 Decree no. 339, respecting the manner in which fines shall be imposed on seamen guilty of contravening the provisions of the Immigration Act [no. 817 of 6th October, 2876]. (B.O. no. ix,o87, p. 7) "
ARGENTINE,,"Decree no. i iôo, respecting the administration of section 4 of Act no. 9248 [of 25th September, 1913, to establish public employment exchanges]. (B.O. no. p. 743)",7.4.,1931,6,Apr. 7,"Apr. 7 Decree no. i iôo, respecting the administration of section 4 of Act no. 9248 [of 25th September, 1913, to establish public employment exchanges]. (B.O. no. p. 743) "
ARGENTINE,,"Decree respecting the orgamsation of the Ministry of the Interior [jurisdiction of Ministry covers labour and social welfare legislation]. (B.O. DO. 11,209, 1490)",20.8.,1931,6,Aug. 20,"Aug. 20 Decree respecting the orgamsation of the Ministry of the Interior [jurisdiction of Ministry covers labour and social welfare legislation]. (B.O. DO. 11,209, 1490) "
ARGENTINE,,"Decree no. z8io, to declare 5th September to be a public holiday. (B.O. no. 11,205, p. 2238)",29.8.,1931,6,Aug. 29,"Aug. 29 Decree no. z8io, to declare 5th September to be a public holiday. (B.O. no. 11,205, p. 2238) "
ARGENTINE,,"Decree no. 3388, to approve a resolution respecting the reduction of the wages and salaries of railway employees. (B.O. flO. 11,259, p. 1233)",20.11.,1931,6,Nov. 20,"Nov. 20 Decree no. 3388, to approve a resolution respecting the reduction of the wages and salaries of railway employees. (B.O. flO. 11,259, p. 1233) "
ARGENTINE,,"Decree no. 2133, to amend the Decree of 27th May, 1929, respecting tion. (B.O. 1932, DO. 11,294, p. 418)",25.11.,1931,6,Nov. 25,"Nov. 25 Decree no. 2133, to amend the Decree of 27th May, 1929, respecting tion. (B.O. 1932, DO. 11,294, p. 418) "
AUSTRALIA,,"Order to confirm and approve the Draft Convention concerning the creation of minimum wage fixing machinery (Eleventh Session of the International Labour Conference, Geneva, 1928). (C.A.G. p. 76)",21.1.,1931,6,Jan. zr,"Jan. zr Order to confirm and approve the Draft Convention concerning the creation of minimum wage fixing machinery (Eleventh Session of the International Labour Conference, Geneva, 1928). (C.A.G. p. 76) "
AUSTRALIA,,"Regulations under the Navigation Act 1912—1926: Navigation (Examination of Masters and Mates) Regulations [supersede previous Regulations 1924—1930]. (C.S.R. no. so, p. 169)",23.2.,1931,6,Feb. 23,"Feb. 23 Regulations under the Navigation Act 1912—1926: Navigation (Examination of Masters and Mates) Regulations [supersede previous Regulations 1924—1930]. (C.S.R. no. so, p. 169) "
