country,region,text,date,year,page,extracted_date,full_text
INTERNATIONAL,Austria—Hungary,"Treaty between the Kingdom of Hungary and the Republic of Austria respecting the transit and junction arrangements between the two countries as regards railway traffic [article 12, social insurance]. (Bundesgesetzblatt fiir die Republik Osterreich, 1931, no. 246, p. 1369; Amtliche Nachrichten des Bundesministeriums fiir soziale Verwaltung [Austria], 1931, no. 9, p. 270; Orsz4gos Toérvénytar, 28th July, 1931, p. 319) Extract: Int. 8",30.6.,1930,4,June 30,"June 30 Treaty between the Kingdom of Hungary and the Republic of Austria respecting the transit and junction arrangements between the two countries as regards railway traffic [article 12, social insurance]. (Bundesgesetzblatt fiir die Republik Osterreich, 1931, no. 246, p. 1369; Amtliche Nachrichten des Bundesministeriums fiir soziale Verwaltung [Austria], 1931, no. 9, p. 270; Orsz4gos Toérvénytar, 28th July, 1931, p. 319) Extract: Int. 8 "
INTERNATIONAL,Austria—Poland °,"Treaty between the Republic of Poland and the Republic of Austria respecting rial navigation [art. 13, certificates of competency; art. 14, certificates of airworthiness]. (Dziennik Ustaw Rzeczypospolitej Polskiej, poz. 512)",10.4.,1930,4,Apr 10,"Apr. 10 Treaty between the Republic of Poland and the Republic of Austria respecting rial navigation [art. 13, certificates of competency; art. 14, certificates of airworthiness]. (Dziennik Ustaw Rzeczypospolitej Polskiej, poz. 512) "
INTERNATIONAL,Austria—Poland °,See also Poland (Aug. 26),,,4,,See also Poland (Aug. 26). 
INTERNATIONAL,Belgium—Morocco,"Convention between Belgium and the Shereefian Government respecting compensation for injuries resulting from industrial accidents. (Moniteur belge, 1932, no. 120, p. 2382) Text: Int. 11",24.7.,1930,4,July 24,"July 24 Convention between Belgium and the Shereefian Government respecting compensation for injuries resulting from industrial accidents. (Moniteur belge, 1932, no. 120, p. 2382) Text: Int. 11 "
INTERNATIONAL,China—Czechoslovakia,"Treaty of Amity and Commerce between the Czechoslovak Republic and the Republic of China [art. VIII: “The workmen of each of the High Con- tracting Parties shall, irrespective of their sex, have all the facilities of entry into the territory of the other, and shall, subject to its laws and regulations equally applicable to foreign workmen, enjoy the same treatment and protection as the workmen of the country ”]. (Sbirka z koni a nafizeni statu Ceskoslovenského [Sammlung der Gesetze und Verordnungen des choslovakischen Staates], no. 171)",12.2.,1930,4,Feb 12,"Feb. 12 Treaty of Amity and Commerce between the Czechoslovak Republic and the Republic of China [art. VIII: “The workmen of each of the High Con- tracting Parties shall, irrespective of their sex, have all the facilities of entry into the territory of the other, and shall, subject to its laws and regulations equally applicable to foreign workmen, enjoy the same treatment and protection as the workmen of the country ”]. (Sbirka z koni a nafizeni statu Ceskoslovenského [Sammlung der Gesetze und Verordnungen des choslovakischen Staates], no. 171) "
INTERNATIONAL,Czechoslovakia—France,"Arrangement between the competent authorities in Czechoslovakia and France to facilitate the admission of student employees into the two countries. Journal officiel de la République frangaise, no. 176, p. 8493; Bulletin du Ministére du Travail [France], nos. 7—8—9, p. 352) Text: Int. 5",22.5.,1930,4,May 22,"May 22 Arrangement between the competent authorities in Czechoslovakia and France to facilitate the admission of student employees into the two countries. Journal officiel de la République frangaise, no. 176, p. 8493; Bulletin du Ministére du Travail [France], nos. 7—8—9, p. 352) Text: Int. 5 "
INTERNATIONAL,Czechoslovakia—Rumania,"Treaty of Commerce and Navigation between the Czechoslovak Republic and the Kingdom of Rumania [art. IX, emigration and immigration]. (Sbirka z konu a nafizeni statu ¢eskoslovenského [Sammlung der Gesetze und Ver- ordnungen des Cechoslovakischen Staates}], no. 114; Monitorul Oficial Rumania], 1931, p. 3553)",27.6.,1930,4,June 27,"June 27 Treaty of Commerce and Navigation between the Czechoslovak Republic and the Kingdom of Rumania [art. IX, emigration and immigration]. (Sbirka z konu a nafizeni statu ¢eskoslovenského [Sammlung der Gesetze und Ver- ordnungen des Cechoslovakischen Staates}], no. 114; Monitorul Oficial Rumania], 1931, p. 3553) "
INTERNATIONAL,Denmark—Lithuania,"Treaty of Commerce and Navigation between Denmark and Lithuania art. XVI, emigration]. (Lovtidenden for Kongeriget Danmark, 1931, A. no. 9, p. 152; Vyriausybés Zinios [Lithuania], 1931, no. 352, p. 9)",21.6.,1930,4,June 21,"June 21 Treaty of Commerce and Navigation between Denmark and Lithuania art. XVI, emigration]. (Lovtidenden for Kongeriget Danmark, 1931, A. no. 9, p. 152; Vyriausybés Zinios [Lithuania], 1931, no. 352, p. 9) "
INTERNATIONAL,Denmark—Sweden,"Agreement concluded between Denmark and Sweden respecting attendance on seamen during sickness, the repatriation of seamen, and other matters. (Lovtidenden for Kongeriget Danmark, A. — no. 10, p. 227; Sveriges Sverens- kommelser med frammande makter, no. 1) Text: Int. 2",27.1.,1930,4,Jan 27,"Jan. 27 Agreement concluded between Denmark and Sweden respecting attendance on seamen during sickness, the repatriation of seamen, and other matters. (Lovtidenden for Kongeriget Danmark, A. — no. 10, p. 227; Sveriges Sverens- kommelser med frammande makter, no. 1) Text: Int. 2 "
INTERNATIONAL,Estonia—Netherlands,"Treaty respecting the mutual recognition by the Netherlands and Estonia of certificates of survey of seagoing vessels. (Staatsblad van het koninkrijk der Nederlanden, 1931, no. 8)",1.9.,1930,4,Sept 1,"Sept. 1 Treaty respecting the mutual recognition by the Netherlands and Estonia of certificates of survey of seagoing vessels. (Staatsblad van het koninkrijk der Nederlanden, 1931, no. 8) "
