country,region,text,date,year,page,extracted_date,full_text
FRANC E,,"198 1 —Fr . 1 Thi s translatio n reproduce s th e officia l consolidatio n o f Par t I (Laws ) o f th e Labou r Cod e promulgate d b y Ac t No . 73- 4 o f 2 Jan . 1973 , a s las t amende d o n 2 8 Jan . 1981",,,1,,"198 1  —Fr .  1   Thi s  translatio n  reproduce s  th e  officia l  consolidatio n  o f  Par t  I  (Laws )  o f  th e  Labou r  Cod e  promulgate d  b y  Ac t  No .  73- 4  o f  2  Jan .  1973 ,  a s  las t  amende d  o n  2 8  Jan .  1981 .  "
IRELAN D,,"6 Apr . 197 7 Unfai r Dismissal s Ac t 1977 . No . 1 0 o f 1977 . Ire . I B (2/82 ) III . ERRAT A Legislativ e Series , 197 8",,,1,,"6  Apr .  197 7   Unfai r  Dismissal s  Ac t  1977 .  No .  1 0  o f  1977 .   Ire .  I B  (2/82 )  III .  ERRAT A  Legislativ e  Series ,  197 8  "
IRELAN D,,"Alg . 1 I n s . 66 , fo r ""lay-off "" rea d ""unpai d leave"" . IV . CHRONOLOGICA L LIS T O F LABOU R AN D SOCIA L SECURIT Y LEGISLATIO N ENACTE D I N 198 1 Introduction",,,1,,"Alg .  1   I n  s .  66 ,  fo r  ""lay-off ""  rea d  ""unpai d  leave"" .  IV .  CHRONOLOGICA L  LIS T  O F  LABOU R  AN D  SOCIA L  SECURIT Y  LEGISLATIO N  ENACTE D  I N  198 1  Introduction  "
IRELAN D,,"Thi s lis t give s th e title s o f al l labou r an d socia l securit y legislatio n enacte d i n 198 1 tha t ha s com e t o th e knowledg e o f th e ILO , excep t legislatio n o f limite d duratio n o r scope . Text s publishe d i n th e Legislative Series bea r a n indication , o n th e right-han d margin , o f th e referenc e numbe r o f th e",,,1,,"Thi s  lis t  give s  th e  title s  o f  al l  labou r  an d  socia l  securit y  legislatio n  enacte d  i n  198 1  tha t  ha s  com e  t o  th e  knowledg e  o f  th e  ILO ,  excep t  legislatio n  o f  limite d  duratio n  o r  scope .  Text s  publishe d  i n  th e  Legislative  Series  bea r  a n  indication ,  o n  th e  right-han d  margin ,  o f  th e  referenc e  numbe r  o f  th e  "
IRELAN D,tex t  and   i n  brackets   th e  numbe r  o f  th e  issu e  i n  whic h  i t  appeared,"Th e title s ar e arrange d chronologicall y unde r th e name s ofth e countries , whic h ar e i n alphabetica l 4 order , th e legislatio n o f province s an d oversea s territorie s bein g liste d afte r tha t o f th e mothe r",,,1,,"Th e  title s  ar e  arrange d  chronologicall y  unde r  th e  name s  ofth e  countries ,  whic h  ar e  i n  alphabetica l  4  order ,  th e  legislatio n  o f  province s  an d  oversea s  territorie s  bein g  liste d  afte r  tha t  o f  th e  mothe r  "
IRELAN D,country   Internationa l  agreement s  wil l  b e  foun d  a t  th e  en d  o f  th e  list,"Fo r eac h titl e th e lis t indicate s th e dat e (wher e n o yea r i s given , th e dat e refer s t o th e yea r 1981 ) an d",,,2,,"Fo r  eac h  titl e  th e  lis t  indicate s  th e  dat e  (wher e  n o  yea r  i s  given ,  th e  dat e  refer s  t o  th e  yea r  1981 )  an d  "
IRELAN D,th e  officia l  gazett e  o r  othe r  sourc e  (excep t  wher e  th e  enactmen t  wa s  publishe d  separately),"Wher e th e titl e i s no t sufficientl y explicit , th e subjec t o f th e enactmen t (or , i n th e cas e o f amendin g legislation , th e natur e o r scop e o f th e amendments ) i s indicate d i n squar e brackets . Detail s o f th e",,,2,,"Wher e  th e  titl e  i s  no t  sufficientl y  explicit ,  th e  subjec t  o f  th e  enactmen t  (or ,  i n  th e  cas e  o f  amendin g  legislation ,  th e  natur e  o r  scop e  o f  th e  amendments )  i s  indicate d  i n  squar e  brackets .  Detail s  o f  th e  "
IRELAN D,repea l  o f  earlie r  legislatio n  ar e  recorde d  i n  th e  sam e  way,"A n indicatio n i s given , wher e appropriate , o f earlie r text s publishe d i n th e Legislative Series. Wher e ther e ar e mor e tha n tw o suc h text s relatin g t o a particula r item , onl y th e first an d las t ar e given , e.g . ""L S 194 8 -Aus . 2 . . . 196 5 -Aus . 3"" . (I n thi s exampl e th e reference s t o text s publishe d betwee n 194 8 an d 196 5 wil l b e foun d i n th e text s themselves , eac h tex t referrin g t o th e immediatel y precedin g",,,2,,"A n  indicatio n  i s  given ,  wher e  appropriate ,  o f  earlie r  text s  publishe d  i n  th e  Legislative  Series.  Wher e  ther e  ar e  mor e  tha n  tw o  suc h  text s  relatin g  t o  a  particula r  item ,  onl y  th e  first  an d  las t  ar e  given ,  e.g .  ""L S  194 8  -Aus .  2  .  .  .  196 5  -Aus .  3"" .  (I n  thi s  exampl e  th e  reference s  t o  text s  publishe d  betwee n  194 8  an d  196 5  wil l  b e  foun d  i n  th e  text s  themselves ,  eac h  tex t  referrin g  t o  th e  immediatel y  precedin g  "
ALGERI A,,"3 1 Jan . Decre e No . 81-14 , t o la y dow n rule s fo r th e calculatio n o f allowance s fo r shif t an d othe r wor k [allowance s t o compensat e fo r continuou s work , includin g wor k a t night , o n a weekl y res t day , etc.] . (Journal Officiel, 3 Feb. )",,,2,,"3 1  Jan .   Decre e  No .  81-14 ,  t o  la y  dow n  rule s  fo r  th e  calculatio n  o f  allowance s  fo r  shif t  an d  othe r  wor k  [allowance s  t o  compensat e  fo r  continuou s  work ,  includin g  wor k  a t  night ,  o n  a  weekl y  res t  day ,  etc.] .  (Journal  Officiel,  3  Feb. )  "
ALGERI A,,"1 4 Feb . Decre e No . 81-17 , t o la y dow n rule s fo r th e provisio n o f trainin g an d furthe r trainin g abroad , (ibid. , 1 7 Feb. )",,,2,,"1 4  Feb .   Decre e  No .  81-17 ,  t o  la y  dow n  rule s  fo r  th e  provisio n  o f  trainin g  an d  furthe r  trainin g  abroad ,  (ibid. ,  1 7  Feb. )  "
