country,region,text,date,year,page,extracted_date,full_text
INTERNATIONAL,AustriaCzechoslovakia,"Agreement between the Republic of Austria and the Czechoslovak Republic respecting mutual claims of pension insurance carriers. (Bundesgesetzblatt 1926, flO. 94, p. 550.)",12.7.,1924,4,July 12,"July 12 Agreement between the Republic of Austria and the Czechoslovak Republic respecting mutual claims of pension insurance carriers. (Bundesgesetzblatt 1926, flO. 94, p. 550.) "
INTERNATIONAL,Austria  Germany,"Feb. i8 Agreement between the German and Austrian Governments respecting un employment relief. (Reichsgesetzblatt, 2924, II. no. 25, p. 89)",,,4,,"Feb. i8 Agreement between the German and Austrian Governments respecting un employment relief. (Reichsgesetzblatt, 2924, II. no. 25, p. 89) "
INTERNATIONAL,Austria  Germany,"See also Austria (Feb. 28); Germany (Apr. 4, ns)",,,4,,"See also Austria (Feb. 28); Germany (Apr. 4, ns). "
INTERNATIONAL,Austria Hungary,"Treaty between the Republic of Austria and the Kingdom of Hungary respect ing the treatment of salaried employees, State pensioners and widows and orphans in the territory ceded by Hungary to Austria under the Treaties of St. Germain-en.Laye and Trianon. (Bundesgesetzblatt 2925, nO. 238, p. 582)",12.1.,1924,4,Jan 12,"Jan. 12 Treaty between the Republic of Austria and the Kingdom of Hungary respect ing the treatment of salaried employees, State pensioners and widows and orphans in the territory ceded by Hungary to Austria under the Treaties of St. Germain-en.Laye and Trianon. (Bundesgesetzblatt 2925, nO. 238, p. 582) "
INTERNATIONAL,Austria Hungary,"Agreement to amend the Treaty concluded between the Republic of Austria and the Kingdom of Hungary on 12th January, 2924 lextension to 31St March, 2925, of the time limit for the transfer of contributions by Hungary to Austria]. (Bundesgesctzblatt, 2925, 110. 139, p. 591)",30.9.,1924,4,Sept 30,"Sept. 30 Agreement to amend the Treaty concluded between the Republic of Austria and the Kingdom of Hungary on 12th January, 2924 lextension to 31St March, 2925, of the time limit for the transfer of contributions by Hungary to Austria]. (Bundesgesctzblatt, 2925, 110. 139, p. 591) "
INTERNATIONAL,Austria  Italy,"z Exchange of ratifications of the Conventions between Austria and Italy [signed on 6th April, 2922] respecting provincial and communal pensions [ratified by Austria on izth October, 2923, and by Italy on 13th December, 2923 - sec Legislative Series, 1923, Chronological Index, Italy, p. 48]. (Bundesgesetzblatt, 1924, no. 272, p. 749)",1.6.,1924,4,June i,"June iz Exchange of ratifications of the Conventions between Austria and Italy [signed on 6th April, 2922] respecting provincial and communal pensions [ratified by Austria on izth October, 2923, and by Italy on 13th December, 2923 - sec Legislative Series, 1923, Chronological Index, Italy, p. 48]. (Bundesgesetzblatt, 1924, no. 272, p. 749) "
INTERNATIONAL,Belgium  France,"Labour Treaty between Belgium and France. (Revue du Travail, 1925, 110. 2, p. 428; Bulletin du Ministkre du Travail, 1925, flOS. 1-2-3, p. 87) Text: mt. 3",24.12.,1924,4,Dec 24,"Dec. 24 Labour Treaty between Belgium and France. (Revue du Travail, 1925, 110. 2, p. 428; Bulletin du Ministkre du Travail, 1925, flOS. 1-2-3, p. 87) Text: mt. 3 "
INTERNATIONAL,Czechoslovakia  Denmark,"Provisional Agreement between the Czechoslovak Republic and the Kingdom of Denmark respecting commerce and navigation [provision made for the conclusion of special agreements respecting social questions]. (Sbirka zákonñ a nafizeni (Sammiung der Gesetze und Verordnungen) 1924, no. 34; Dansk Lovtidende, 2924, A, 110. 43, p. 95)",31.1.,1924,4,Jan 31,"Jan. 31 Provisional Agreement between the Czechoslovak Republic and the Kingdom of Denmark respecting commerce and navigation [provision made for the conclusion of special agreements respecting social questions]. (Sbirka zákonñ a nafizeni (Sammiung der Gesetze und Verordnungen) 1924, no. 34; Dansk Lovtidende, 2924, A, 110. 43, p. 95) "
INTERNATIONAL,Czechoslovakia  Denmark,"Dec. x8 Extension to 3oth April, 2925, of validity of Provisional Agreement of 31St January, 1924, between the Czechoslovak Republic and the Kingdom of Denmark, respecting commerce and navigation. (Dansk Lovtidende, 1924, A, no. 42, p. 2339)",,,4,,"Dec. x8 Extension to 3oth April, 2925, of validity of Provisional Agreement of 31St January, 1924, between the Czechoslovak Republic and the Kingdom of Denmark, respecting commerce and navigation. (Dansk Lovtidende, 1924, A, no. 42, p. 2339) "
INTERNATIONAL,Czechoslovakia  Denmark,"See also C,echoslovak Republic (Feb. 8, Dec. 23); Denmark (Feb. 15, Dec. 30)",,,4,,"See also C,echoslovak Republic (Feb. 8, Dec. 23); Denmark (Feb. 15, Dec. 30). "
INTERNATIONAL,Czechoslovakia  Germany,"Agreement between the Czechoslovak Republic and Germany respecting the regulation of the conditions of employment and service and the social insurance of the crews of vessels plying on the Oder which have been ceded by Germany to Czechoslovakia. (Sbirka zákonü a naizenI (Sammlung der Gesetze und Verordnungen) 2926, 110. i; Reichsgesetzblatt, xgz, Part II, no. 55, p. 1139) Text: mt. 6 (A)",1.12.,1924,4,Dec i,"Dec. i Agreement between the Czechoslovak Republic and Germany respecting the regulation of the conditions of employment and service and the social insurance of the crews of vessels plying on the Oder which have been ceded by Germany to Czechoslovakia. (Sbirka zákonü a naizenI (Sammlung der Gesetze und Verordnungen) 2926, 110. i; Reichsgesetzblatt, xgz, Part II, no. 55, p. 1139) Text: mt. 6 (A) "
