country,region,text,date,year,page,extracted_date,full_text
INTERNATIONAL,,"Jan. gth Treaty of commerce and shipping between the Czechoslovak Re- public and the Kingdom of Italy, signed at Rome on 23rd March, 1921. Provisionally brought into operation by the Czechoslovak Government on 9th January, 1922. (EJ Int. 1 (1)",,,1,,"Jan. gth Treaty of commerce and shipping between the Czechoslovak Re- public and the Kingdom of Italy, signed at Rome on 23rd March, 1921. Provisionally brought into operation by the Czechoslovak Government on 9th January, 1922. (EJ Int. 1 (1). "
INTERNATIONAL,,"Polish-Italian Commercial Convention signed at Genoa on May 12th, 1922. (E} Int. 2",12.5.,1922,1,May 12th,"May 12th Polish-Italian Commercial Convention signed at Genoa on May 12th, 1922. (E} Int. 2. "
INTERNATIONAL,,"Franco-German Convention respecting the crews on Rhine vessels, signed at Berlin on 27th July, r922. [TJ Int. 4",27.7.,1922,1,July 27th,"July 27th Franco-German Convention respecting the crews on Rhine vessels, signed at Berlin on 27th July, r922. [TJ Int. 4. "
INTERNATIONAL,,"Sept. 25th Commercial treaty between the Czechoslovak Republic and the Austrian Republic, signed at Prague on 4th May, 1921, ratified on 25th September, 1922. {EJ Int. x (1)",,,1,,"Sept. 25th Commercial treaty between the Czechoslovak Republic and the Austrian Republic, signed at Prague on 4th May, 1921, ratified on 25th September, 1922. {EJ Int. x (1). "
INTERNATIONAL,,"Franco-Belgian Agreement for the execution of section 6 of the Convention of 14th February, 1921, concerning miners’ pensions, signed at Paris on 7th November, 1922. [T] Int. 3",7.11.,1922,1,Nov. 7th,"Nov. 7th Franco-Belgian Agreement for the execution of section 6 of the Convention of 14th February, 1921, concerning miners’ pensions, signed at Paris on 7th November, 1922. [T] Int. 3. "
AUSTRALIA,(New South Wales)!,"Sept. r2th Act to repeal the Eight Hours (Amendment) Act, 1920; to amend the Eight Hours Act, 1916, and certain other Acts; and for purposes connected therewith. No. 8 of 1922. [T] Austral. x (1)",,,1,,"Sept. r2th Act to repeal the Eight Hours (Amendment) Act, 1920; to amend the Eight Hours Act, 1916, and certain other Acts; and for purposes connected therewith. No. 8 of 1922. [T] Austral. x (1). "
AUSTRALIA,(New South Wales)!,"Undated] Act to extend the provisions for the payment of compensation to persons disabled by lead poisoning in or upon the Broken Hill mines; to establish a Medical Board with jurisdiction in the county of Yancowinna; to amend the Workmen’s Compensation Act, 1916, and certain other Acts; and for purposes connected therewith. No. 31 of 1922. [T] Austral. 3",,,1,,"Undated] Act to extend the provisions for the payment of compensation to persons disabled by lead poisoning in or upon the Broken Hill mines; to establish a Medical Board with jurisdiction in the county of Yancowinna; to amend the Workmen’s Compensation Act, 1916, and certain other Acts; and for purposes connected therewith. No. 31 of 1922. [T] Austral. 3. "
AUSTRALIA,( Queensland),"Act to make provision for the Insurance of Unemployed Workers, and for other ancillary purposes. [T} Austral. 2 (1)",18.10.,1922,1,Oct. 18th,"Oct. 18th Act to make provision for the Insurance of Unemployed Workers, and for other ancillary purposes. [T} Austral. 2 (1). "
AUSTRALIA,( Queensland),Regulations under the Unemployed Workers Insurance Act of 1922. [S] Austral. 2 (14),9.11.,1922,1,Nov. oth,Nov. oth Regulations under the Unemployed Workers Insurance Act of 1922. [S] Austral. 2 (14). 
AUSTRALIA,Austria!,Act respecting industrial courts. [T] Aus. 1,5.4.,1922,1,Apr. 5th,Apr. 5th Act respecting industrial courts. [T] Aus. 1. 
AUSTRALIA,Austria!,"June goth Act concerning the amendment of the Act of 30th March, 1888, concerning workers’ sickness insurance (Sickness Insurance Amend- ment Act No. XIII). [E] Aus. 6 (40)",,,1,,"June goth Act concerning the amendment of the Act of 30th March, 1888, concerning workers’ sickness insurance (Sickness Insurance Amend- ment Act No. XIII). [E] Aus. 6 (40). "
AUSTRALIA,Austria!,"Act respecting the introduction of remuneration for apprentices (Industrial Code Amendment Act 1922), [T] Aus. 2. 1 See also list of Laws and Orders of years previous to 1922, p. 12 below. 4 —",11.7.,1922,1,July i1th,"July i1th Act respecting the introduction of remuneration for apprentices (Industrial Code Amendment Act 1922), [T] Aus. 2. 1 See also list of Laws and Orders of years previous to 1922, p. 12 below. 4 — "
AUSTRALIA,Austria!,Act relating to theatrical contracts of service (Actors Act). [T] Aus. 3,13.7.,1922,2,July 13th,July 13th Act relating to theatrical contracts of service (Actors Act). [T] Aus. 3. 
AUSTRALIA,Austria!,Order containing regulations for the protection of the life and healh of workers against anthrax. [T] Aus. 4 (1),1.8.,1922,2,Aug. rst,Aug. rst Order containing regulations for the protection of the life and healh of workers against anthrax. [T] Aus. 4 (1). 
AUSTRALIA,Austria!,Circular concerning regulations for the protection of human beings against anthrax. [S] Aus. 4 (8),1.8.,1922,2,Aug. Ist,Aug. Ist. Circular concerning regulations for the protection of human beings against anthrax. [S] Aus. 4 (8). 
AUSTRALIA,Austria!,"Order respecting unemployment insurance contributions (Executive Order No. I under the Unemployment Insurance Act as last amended by the Federal Act of 19th July, 1922, B.G. Bl. No. 534). [S] Aus.7 (13)",18.8.,1922,2,Aug. 18th,"Aug. 18th Order respecting unemployment insurance contributions (Executive Order No. I under the Unemployment Insurance Act as last amended by the Federal Act of 19th July, 1922, B.G. Bl. No. 534). [S] Aus.7 (13). "
AUSTRALIA,Austria!,"Order respecting extension of the maximum period of unemployment benefit (Executive Order No. II under the Unemployment Insurance Act as last amended by the Federal Act of r9th July, 1922). [S] Aus. 7 (14)",18.8.,1922,2,Aug. 18th,"Aug. 18th Order respecting extension of the maximum period of unemployment benefit (Executive Order No. II under the Unemployment Insurance Act as last amended by the Federal Act of r9th July, 1922). [S] Aus. 7 (14). "
AUSTRALIA,Austria!,"gth Order respecting the form of the notification for the establishment of a claiin to unemployment benefit (Executive Order No. III under the Unemployment Insurance Act as last amended by the Federal Act of r9th July, 1922). [S] Aus. 7 (14)",1.8.,1922,2,Aug. r,"Aug. rgth Order respecting the form of the notification for the establishment of a claiin to unemployment benefit (Executive Order No. III under the Unemployment Insurance Act as last amended by the Federal Act of r9th July, 1922). [S] Aus. 7 (14). "
AUSTRALIA,Austria!,"gth Order respecting areas and seats of the district industrial com- missions (Executive Order No. IV under the Unemployment In- surance Act as last amended by the Federal Act of r9th July, 1922). (S] Aus. 7 (14)",1.8.,1922,2,Aug. r,"Aug. rgth Order respecting areas and seats of the district industrial com- missions (Executive Order No. IV under the Unemployment In- surance Act as last amended by the Federal Act of r9th July, 1922). (S] Aus. 7 (14). "
AUSTRALIA,Austria!,Sept. 6th Federal Act concerning the sickness insurance of workers (Sickness Insurance Amendment Act No. XVI). [E] Aus. 6 (40),,,2,,Sept. 6th Federal Act concerning the sickness insurance of workers (Sickness Insurance Amendment Act No. XVI). [E] Aus. 6 (40). 
AUSTRALIA,Austria!,Order issuing the new version of the Unemployment Insurance Act. [T] Aus. 7 (1),11.10.,1922,2,Oct. r1th,Oct. r1th Order issuing the new version of the Unemployment Insurance Act. [T] Aus. 7 (1). 
AUSTRALIA,Austria!,"h Order under which young persons, apprentices and persons whose means of subsistence are not endangered, are excluded from un- employment benefit (Executive Order No. V under the Unemploy- ment Insurance Act as last amended by the Federal Act of rgth July, 1922). [S] Aus. 7 (14)",11.10.,1922,2,Oct. rt,"Oct. rth Order under which young persons, apprentices and persons whose means of subsistence are not endangered, are excluded from un- employment benefit (Executive Order No. V under the Unemploy- ment Insurance Act as last amended by the Federal Act of rgth July, 1922). [S] Aus. 7 (14). "
AUSTRALIA,Austria!,Order extending unemployment insurance to the Burgenland. Ti} Aus. 7 (15),31.10.,1922,2,Oct. 31st,Oct. 31st Order extending unemployment insurance to the Burgenland. Ti} Aus. 7 (15). 
AUSTRALIA,Austria!,Instructions for the district industrial commissions and the un- employment offices respecting the administration of the Unemploy- ment Insurance Act (new version). [S] Aus. 7 (15),7.11.,1922,2,Nov. 7th,Nov. 7th Instructions for the district industrial commissions and the un- employment offices respecting the administration of the Unemploy- ment Insurance Act (new version). [S] Aus. 7 (15). 
AUSTRALIA,Austria!,"Order respecting the establishment of a district industrial com- mission for the Burgenland (Executive Order No. VI under the Unemployment Insurance Act, new version). [S] Aus. 7 (15)",10.11.,1922,2,Nov. roth,"Nov. roth Order respecting the establishment of a district industrial com- mission for the Burgenland (Executive Order No. VI under the Unemployment Insurance Act, new version). [S] Aus. 7 (15). "
AUSTRALIA,Austria!,Order respecting the text of the Act relating to workers’ sickness insurance. [T] Aus. 6 (1),20.11.,1922,2,Nov. 2oth,Nov. 2oth Order respecting the text of the Act relating to workers’ sickness insurance. [T] Aus. 6 (1). 
AUSTRALIA,Austria!,Act relating to the contracts of service of caretakers (Caretakers Order). [T] Aus. 5,13.12.,1922,2,Dec. 13th,Dec. 13th Act relating to the contracts of service of caretakers (Caretakers Order). [T] Aus. 5. 
