country,region,text,date,year,page,extracted_date,full_text
AUSTRALIA,Tasmania,"Legislative Series, 1925 (Austral. 5): 1926 8); 1929 (Austral. 6)",,,3,,"Legislative Series, 1925 (Austral. 5): 1926 8); 1929 (Austral. 6); "
AUSTRALIA,Tasmania,1934 (Austral. 8); 1935 (Austral. 8); 1936 (Austral. 5). See also various,,,3,,1934 (Austral. 8); 1935 (Austral. 8); 1936 (Austral. 5). See also various 
AUSTRALIA,Tasmania,"Orders in Council, 1925-1938. 2 Legislative Series, 1933 (Austral. 4)",,,3,,"Orders in Council, 1925-1938. 2 Legislative Series, 1933 (Austral. 4). "
AUSTRALIA,Tasmania,"Legislative Series, 1929 Austral. 2); amendments: 1934 (Austral. 13)",,,3,,"Legislative Series, 1929 Austral. 2); amendments: 1934 (Austral. 13); "
AUSTRALIA,Tasmania,"1936 (Austral. 8); see also Acts of 25th October, 1937, 20th December, 1937",,,3,,"1936 (Austral. 8); see also Acts of 25th October, 1937, 20th December, 1937, "
AUSTRALIA,Tasmania,"December, 1938",16.1.,1939,3,and 16th,"and 16th December, 1938. "
AUSTRALIA,Tasmania,1939—Indexes — 4 —,,,4,,1939—Indexes — 4 — 
AUSTRALIA,Western Australia,"An Act to amend the Workers' Compensation Act, No. 50 of 1938. Workers' Compensation Act Amendment Act, 1938. Austral. 1",31.1.,1939,4,Jan. 31,"Jan. 31 An Act to amend the Workers' Compensation Act, No. 50 of 1938. Workers' Compensation Act Amendment Act, 1938. Austral. 1 "
BELGIUM,,"Royal Order to amend and supplement the Royal Order of 14th April, to issue special regulations respecting painting by means of compressed air sprayers or spray painting. (Moniteur beige, 2nd February, 1939, No. 33, p. 533) Eel. 1",24.1.,1939,4,Jan. 24,"Jan. 24 Royal Order to amend and supplement the Royal Order of 14th April, to issue special regulations respecting painting by means of compressed air sprayers or spray painting. (Moniteur beige, 2nd February, 1939, No. 33, p. 533) Eel. 1 "
BELGIUM,,"Royal Order to issue general regulations concerning the measures to be taken for the purpose of protecting the health of salaried employees working in Industrial and commercial undertakings and likewise in services and establishments which are either public or of public utility. (Moniteur beige, 1st March, 1939, No. 60, p. 1315) Eel. 2",8.2.,1939,4,Feb. 8,"Feb. 8 Royal Order to issue general regulations concerning the measures to be taken for the purpose of protecting the health of salaried employees working in Industrial and commercial undertakings and likewise in services and establishments which are either public or of public utility. (Moniteur beige, 1st March, 1939, No. 60, p. 1315) Eel. 2 "
BELGIUM,,"Royal Order to amend the Royal Order of 12th March, 19256, issuing regulations for work in zinc works, and to extend the provisions of that Order to works engaged in the smelting or roasting of zinc or lead ores or the working up of lead-containing by-products of these operations. (Moniteur belge, 4th August, 1939, No. 216, p. 5441) Eel. 3",14.7.,1939,4,July 14,"July 14 Royal Order to amend the Royal Order of 12th March, 19256, issuing regulations for work in zinc works, and to extend the provisions of that Order to works engaged in the smelting or roasting of zinc or lead ores or the working up of lead-containing by-products of these operations. (Moniteur belge, 4th August, 1939, No. 216, p. 5441) Eel. 3 "
BELGIUM,,"Royal Order respecting the setting up of an Endowment Fund provide for war pensions, old age and widows' pension bonuses and orphans' allowances. (Moniteur beIge, 26th July, 1939, No. 207, p. 5197) French edition only: Eel. 5",22.7.,1939,4,July 22,"July 22 Royal Order respecting the setting up of an Endowment Fund provide for war pensions, old age and widows' pension bonuses and orphans' allowances. (Moniteur beIge, 26th July, 1939, No. 207, p. 5197) French edition only: Eel. 5 "
BELGIUM,,"Legislative Order to supplement the respecting the employment of unemployed persons on national defence work. (Moniteur beige, 3Oth-3lst October, 1939, Nos. 303-304. p. 7214) French edition only: Be!. 4",28.10.,1939,4,Oct. 28,"Oct. 28 Legislative Order to supplement the respecting the employment of unemployed persons on national defence work. (Moniteur beige, 3Oth-3lst October, 1939, Nos. 303-304. p. 7214) French edition only: Be!. 4 "
BOLIVIA,,"Supreme Decree to Issue the Labour Code. (Proteccion Social, March 1939, Vol. II, No. 14, p. 28) Bol. 1",26.5.,1939,4,May 26,"May 26 Supreme Decree to Issue the Labour Code. (Proteccion Social, March 1939, Vol. II, No. 14, p. 28) Bol. 1 "
BRAZIL,,"LegislatIve Decree No. 1237, to set up a system of labour courts. (Diario Oficial, 6th May, 1939, No. 103, p. 10,381) Braz. 1",2.5.,1939,4,May 2,"May 2 LegislatIve Decree No. 1237, to set up a system of labour courts. (Diario Oficial, 6th May, 1939, No. 103, p. 10,381) Braz. 1 "
BRAZIL,,"LegislatIve Decree No. 1346, to provide for the reorganisation of the National Labour CounciL (Diarlo Oficial, 17th June,. 1939. No. 139, p. 14,475) Extracts: Braz. 4",15.6.,1939,4,June 15,"June 15 LegislatIve Decree No. 1346, to provide for the reorganisation of the National Labour CounciL (Diarlo Oficial, 17th June,. 1939. No. 139, p. 14,475) Extracts: Braz. 4 "
BRAZIL,,"Legislative Decree No. 1395, to fix the normal hours of actual work of the crews of vessels of the national merchant service at eight hours a day. (Diarlo Oficlal, 3rd July, 1939, No. 152, p. 15,813) Eraz. 2",29.6.,1939,4,June 29,"June 29 Legislative Decree No. 1395, to fix the normal hours of actual work of the crews of vessels of the national merchant service at eight hours a day. (Diarlo Oficlal, 3rd July, 1939, No. 152, p. 15,813) Eraz. 2 "
BRAZIL,,"Legislative Decree No. 1402, to issue regulations governing in- dustrial associations. (Diario Oficial, 7th July, 1939, No. 156, p. 16,233) . Braz. 3",5.7.,1939,4,July 5,"July 5 Legislative Decree No. 1402, to issue regulations governing in- dustrial associations. (Diario Oficial, 7th July, 1939, No. 156, p. 16,233) . Braz. 3 "
