country,region,text,date,year,page,extracted_date,full_text
ARGENTINE,Buenos Aires,"Sept. 11 Act no. 11,110: adoption by the province of Buenos Aires of Federal Act no. 11,110 establishing a superannuation, pension, and relief fund for employees of private tramway, telephone,’ gas and electrical undertakings, etc. (C. M. Dec. 1923, p. 1183) -",,,3,,"Sept. 11 Act no. 11,110: adoption by the province of Buenos Aires of Federal Act no. 11,110 establishing a superannuation, pension, and relief fund for employees of private tramway, telephone,’ gas and electrical undertakings, etc. (C. M. Dec. 1923, p. 1183) - "
ARGENTINE,Mendoza,"Act no. 854 respecting old age pensions. (C. M. Feb. 1924, p. 1209)",22.11.,1923,3,Nov. 22,"Nov. 22 Act no. 854 respecting old age pensions. (C. M. Feb. 1924, p. 1209) "
ARGENTINE,Salta,"Act no. 1133 respecting the legal working day. (C. M. Feb. 1924, p. 1206) Text: Arg. 6",28.8.,1923,3,Aug. 28,"Aug. 28 Act no. 1133 respecting the legal working day. (C. M. Feb. 1924, p. 1206) Text: Arg. 6 "
ARGENTINE,Salta,"Regulations for the administration of the Act respecting the legal working day. {C. M. Feb. 1924, p. 1207) Text: Arg. 6",21.12.,1923,3,Dec. 21,"Dec. 21 Regulations for the administration of the Act respecting the legal working day. {C. M. Feb. 1924, p. 1207) Text: Arg. 6 "
ARGENTINE,San Juan,"Act respecting the legal working day. (C. M. Dec. 1923, p. 1171) Text: Arg. 4",29.11.,1923,3,Nov. 29,"Nov. 29 Act respecting the legal working day. (C. M. Dec. 1923, p. 1171) Text: Arg. 4 "
ARGENTINE,San Juan,"Act respecting the minimum wage. (C. M. Dec. 1923, p. 1183) Text: Arg. 5",29.11.,1923,3,Nov. 29,"Nov. 29 Act respecting the minimum wage. (C. M. Dec. 1923, p. 1183) Text: Arg. 5 "
ARGENTINE,San Luis,"Act no. 782 respecting the regulation of labour conditions. (B. D. N. T Dec. 1924, no. 84, p. 1485)",31.12.,1923,3,Dec. 31,"Dec. 31 Act no. 782 respecting the regulation of labour conditions. (B. D. N. T Dec. 1924, no. 84, p. 1485) "
ARGENTINE,Santa Fé,"Decree to establish a Department of Labour in Santa Fé. (C. M. Mar. 1923, p. 1017)",19.1.,1923,3,Jan. 19,"Jan. 19 Decree to establish a Department of Labour in Santa Fé. (C. M. Mar. 1923, p. 1017) . "
ARGENTINE,Tucuman,"Act respecting the legal working day. (C. M. May 1923, p. 1055) Text: Arg. 1 (A)",24.3.,1923,3,Mar. 24,"Mar. 24 Act respecting the legal working day. (C. M. May 1923, p. 1055) Text: Arg. 1 (A) "
ARGENTINE,Tucuman,"Act to establish a minimum wage. (C. M. May 1923, p. 1056) Text: Arg. 2 (A)",24.3.,1923,3,Mar. 24,"Mar. 24 Act to establish a minimum wage. (C. M. May 1923, p. 1056) Text: Arg. 2 (A) "
ARGENTINE,Tucuman,"Decree for the administration of the Act respecting the legal working day. (C. M. July 1923, p. 1077) Text: Arg. 1 (B)",30.4.,1923,3,Apr. 30,"Apr. 30 Decree for the administration of the Act respecting the legal working day. (C. M. July 1923, p. 1077) Text: Arg. 1 (B) "
ARGENTINE,Tucuman,"Decree for the administration of the Minimum Wage Act. (C. M. July 1923, p. 1082) Text: Arg. 2 (B)",30.4.,1923,3,Apr. 30,"Apr. 30 Decree for the administration of the Minimum Wage Act. (C. M. July 1923, p. 1082) Text: Arg. 2 (B) "
AUSTRALIA,Commonwealth,"Sept. r Act to amend sections seventeen, twenty-two, twenty-four, twenty-six, thirty-one, forty-five, and forty-seven of the Invalid and Old Age Pensions Act, 1908—1920. No. 15 of 1923. Consolidated text: Austral. 7",,,3,,"Sept. r Act to amend sections seventeen, twenty-two, twenty-four, twenty-six, thirty-one, forty-five, and forty-seven of the Invalid and Old Age Pensions Act, 1908—1920. No. 15 of 1923. Consolidated text: Austral. 7 "
AUSTRALIA,Commonwealth,"See also League of Nations: Mandated Territorics (New Guinea, Nauru}",,,3,,"See also League of Nations: Mandated Territorics (New Guinea, Nauru}. "
AUSTRALIA,Commonwealth,C. M. = Cronica Mensual del Departamento Nacional del Trabajo,,,3,,C. M. = Cronica Mensual del Departamento Nacional del Trabajo. 
AUSTRALIA,Commonwealth,B. O. = Boletin Oficial,,,3,,B. O. = Boletin Oficial. 
AUSTRALIA,Commonwealth,B. D. N. T. = Boletin del Departamento Nacional del Trabajo,,,3,,B. D. N. T. = Boletin del Departamento Nacional del Trabajo. 
AUSTRALIA,Mew South Wales,"Regulation under the Industrial Arbitration Act, 19121, as amended: Part X (Publication of Notifications). (N. I. G. vol. XXIII, p. 685)",7.3.,1923,4,Mar. 7,"Mar. 7 Regulation under the Industrial Arbitration Act, 19121, as amended: Part X (Publication of Notifications). (N. I. G. vol. XXIII, p. 685) "
AUSTRALIA,Mew South Wales,"Regulations under the Workmen’s Compensation (Lead Poisoning — Broken Hill) Act, 1922? [nomination of medical board; notification forms]. (N. G. G. 23/3/23, 6/4/23; N. I. G. vol. XXIII, pp. 677 and 838)",16.3.,1923,4,Mar. 16,"Mar. 16 Regulations under the Workmen’s Compensation (Lead Poisoning — Broken Hill) Act, 1922? [nomination of medical board; notification forms]. (N. G. G. 23/3/23, 6/4/23; N. I. G. vol. XXIII, pp. 677 and 838) "
AUSTRALIA,Mew South Wales,"Regulations under the Industrial Arbitration Act [matters of procedure]. (N. I. G. vol. XXIII, p. 683)",23.3.,1923,4,Mar. 23,"Mar. 23 Regulations under the Industrial Arbitration Act [matters of procedure]. (N. I. G. vol. XXIII, p. 683) "
AUSTRALIA,Mew South Wales,"Industrial Arbitration Act, Part X: Regulation no. 20 [private employment agencies]. (N. I. G. vol. XXIII, p. 962)",18.5.,1923,4,May 18,"May 18 Industrial Arbitration Act, Part X: Regulation no. 20 [private employment agencies]. (N. I. G. vol. XXIII, p. 962) "
AUSTRALIA,Mew South Wales,"Regulations under the Workmen’s Compensation (Lead Poisoning — Broken Hill) Act, 1922? [amends Regulations of 16th March, 1923]. (N. G G. 27/7/23; N. I G. vol XXIV, p. 6)",11.7.,1923,4,July 11,"July 11 Regulations under the Workmen’s Compensation (Lead Poisoning — Broken Hill) Act, 1922? [amends Regulations of 16th March, 1923]. (N. G G. 27/7/23; N. I G. vol XXIV, p. 6) "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 19124, as amended: conditions of apprenticeship in the industry or occupation of bricklaying. (N. G. G. 10/8/23; N. I. G. vol XXIV, p. 244)",8.8.,1923,4,Aug. 8,"Aug. 8 Regulations under section 81 of the Industrial Arbitration Act, 19124, as amended: conditions of apprenticeship in the industry or occupation of bricklaying. (N. G. G. 10/8/23; N. I. G. vol XXIV, p. 244) "
AUSTRALIA,Mew South Wales,"Sept. 21 Amended Regulations -—- Workmen’s Compensation (Lead Poisoning — Broken Hill) Act, 19222. (N G. G. 5/10/23; N. I. G. vol. XXIV, p. 551)",,,4,,"Sept. 21 Amended Regulations -—- Workmen’s Compensation (Lead Poisoning — Broken Hill) Act, 19222. (N G. G. 5/10/23; N. I. G. vol. XXIV, p. 551) "
AUSTRALIA,Mew South Wales,"Act to authorise the appointment as permanent officers of the Public Service of certain returned soldiers, now or lately temporarily employed in such service; to amend the Public Service Act, 1902; and for purposes connected there- with. No. 7 of 1923",2.10.,1923,4,Oct. 2,"Oct. 2 Act to authorise the appointment as permanent officers of the Public Service of certain returned soldiers, now or lately temporarily employed in such service; to amend the Public Service Act, 1902; and for purposes connected there- with. No. 7 of 1923. "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 1912, as amended: conditions of apprenticeship in the industry or occupation of painting and decorating. (N. G. G. 2/11/23; N. I. G. vol. XXIV, p. 1140)",31.10.,1923,4,Oct. 31,"Oct. 31 Regulations under section 81 of the Industrial Arbitration Act, 1912, as amended: conditions of apprenticeship in the industry or occupation of painting and decorating. (N. G. G. 2/11/23; N. I. G. vol. XXIV, p. 1140) "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 19124, as amended: conditions of apprenticeship in the industry or occupation of tilelayers. (N. G. G. 16/11/23; N. I. G. vol. XXIV, p. 934)",13.11.,1923,4,Nov. 13,"Nov. 13 Regulations under section 81 of the Industrial Arbitration Act, 19124, as amended: conditions of apprenticeship in the industry or occupation of tilelayers. (N. G. G. 16/11/23; N. I. G. vol. XXIV, p. 934) "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 1912, as amended: conditions of apprenticeship in the industry or occupation of metal-ceiling fixers. (N. G. G. 16/11/23; N. I. G. vol. XXIV, p. 939)",13.11.,1923,4,Nov. 13,"Nov. 13 Regulations under section 81 of the Industrial Arbitration Act, 1912, as amended: conditions of apprenticeship in the industry or occupation of metal-ceiling fixers. (N. G. G. 16/11/23; N. I. G. vol. XXIV, p. 939) "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 1912, as amended: conditions of apprenticeship in the trades or occupations of stone- cutters and setters. (N. G. G. 16/11/23; N. I. G. vol. XXIV, p. 936)",13.11.,1923,4,Nov. 13,"Nov. 13 Regulations under section 81 of the Industrial Arbitration Act, 1912, as amended: conditions of apprenticeship in the trades or occupations of stone- cutters and setters. (N. G. G. 16/11/23; N. I. G. vol. XXIV, p. 936) "
AUSTRALIA,Mew South Wales,"Act to amend the Bread Act, 1901, and certain other Acts; and for purposes connected therewith [rescinds prohibition of Sunday work and night work in bakeries]. No. 19 of 1923",26.11.,1923,4,Nov. 26,"Nov. 26 Act to amend the Bread Act, 1901, and certain other Acts; and for purposes connected therewith [rescinds prohibition of Sunday work and night work in bakeries]. No. 19 of 1923. "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 19121, as amended: conditions of apprenticeship in the industry or occupation of plasterers. (N. G. G. 30/11/23; N. I. G. vol. XXIV, p. 1143)",27.11.,1923,4,Nov. 27,"Nov. 27 Regulations under section 81 of the Industrial Arbitration Act, 19121, as amended: conditions of apprenticeship in the industry or occupation of plasterers. (N. G. G. 30/11/23; N. I. G. vol. XXIV, p. 1143) "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 19121, as amended: conditions of apprenticeship in the trade or occupation of car- penters and joiners. (N. G. G. 30/11/23; N. I. G. vol. XXIV, p. 1128)",27.11.,1923,4,Nov. 27,"Nov. 27 Regulations under section 81 of the Industrial Arbitration Act, 19121, as amended: conditions of apprenticeship in the trade or occupation of car- penters and joiners. (N. G. G. 30/11/23; N. I. G. vol. XXIV, p. 1128) "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 1912}, as amended: conditions of apprenticeship in the industry or occupation of plumbers. (N. G. G. 30/11/23; N. I. G. vol. XXIV, p. 1146)",27.11.,1923,4,Nov. 27,"Nov. 27 Regulations under section 81 of the Industrial Arbitration Act, 1912}, as amended: conditions of apprenticeship in the industry or occupation of plumbers. (N. G. G. 30/11/23; N. I. G. vol. XXIV, p. 1146) "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 1912}, as amended: conditions of apprenticeship in the trade or occupation of stone polishers in the industry of stonemasons. (N..G. G. 30/11/23; N. I. G. vol. XXIV, p. 1152)",27.11.,1923,4,Nov. 27,"Nov. 27. Regulations under section 81 of the Industrial Arbitration Act, 1912}, as amended: conditions of apprenticeship in the trade or occupation of stone polishers in the industry of stonemasons. (N..G. G. 30/11/23; N. I. G. vol. XXIV, p. 1152) "
AUSTRALIA,Mew South Wales,"Regulations under section 81 of the Industrial Arbitration Act, 1912,! as amended: conditions of apprenticeship in the industry or occupation of fibrous plaster fixers. (N. G. G. 30/11/23; N. I. G. vol. XXIV, p. 1135)",27.11.,1923,4,Nov. 27,"Nov. 27 Regulations under section 81 of the Industrial Arbitration Act, 1912,! as amended: conditions of apprenticeship in the industry or occupation of fibrous plaster fixers. (N. G. G. 30/11/23; N. I. G. vol. XXIV, p. 1135) "
AUSTRALIA,Mew South Wales,N. I. G. = New South Wales Industrial Gazette,,,4,,N. I. G. = New South Wales Industrial Gazette. 
AUSTRALIA,Mew South Wales,N. G. G = New South Wales Government Gazette,,,4,,N. G. G = New South Wales Government Gazette. 
