country,region,text,date,year,page,extracted_date,full_text
ARGENTINE REPUBLIC,,"Jan. 3 Decree no. 33,833, to supplement the powers laid down in section x6 of Act no. 9688 [of 11th October, 1915] (industrial accidents) [powers of public prosecutors in respect of persons under disability]. (B.O. no. 11,881, p. 386)",,,1,,"Jan. 3 Decree no. 33,833, to supplement the powers laid down in section x6 of Act no. 9688 [of 11th October, 1915] (industrial accidents) [powers of public prosecutors in respect of persons under disability]. (B.O. no. 11,881, p. 386) "
ARGENTINE REPUBLIC,,"Jan. 15 Decree no. 34,446 [under Act no. 11,3381, of 9th September, 1926, respecting night work in bakeries], to establish an employment exchange for the bakery trade and to introduce a system of work in rotation for unemployed persons. (B.O. DO. 11,887, p. 68o)",,,1,,"Jan. 15 Decree no. 34,446 [under Act no. 11,3381, of 9th September, 1926, respecting night work in bakeries], to establish an employment exchange for the bakery trade and to introduce a system of work in rotation for unemployed persons. (B.O. DO. 11,887, p. 68o) "
ARGENTINE REPUBLIC,,"Jan. 15 Decree no. 34,445 [under Act no. to authorise the National Department of Labour and other administrative authorities (provincial or local) to issue temporary permits for the performance of work in the manufacture of bread between 9 p.m. and 5a.m. (B.O. no. 11,895, p. Ioio)",,,1,,"Jan. 15 Decree no. 34,445 [under Act no. to authorise the National Department of Labour and other administrative authorities (provincial or local) to issue temporary permits for the performance of work in the manufacture of bread between 9 p.m. and 5a.m. (B.O. no. 11,895, p. Ioio) "
ARGENTINE REPUBLIC,,"Jan. 29 Decree no. 34,111, to issue regulations for the entry into Argentina of persons travelling as passengers 4, immigration of landworkers]. (B.O. no. 11,894, p. 962)",,,1,,"Jan. 29 Decree no. 34,111, to issue regulations for the entry into Argentina of persons travelling as passengers 4, immigration of landworkers]. (B.O. no. 11,894, p. 962) "
ARGENTINE REPUBLIC,,"Apr. 24 Decree DO. 40,245, to provide that the special regulations for the hours of work of railway employees [under Act no. 11,544 of September, shall be issued by the Ministry of Public Works. (B.O. no. 11,960, p. iz7o)",,,1,,"Apr. 24 Decree DO. 40,245, to provide that the special regulations for the hours of work of railway employees [under Act no. 11,544 of September, shall be issued by the Ministry of Public Works. (B.O. no. 11,960, p. iz7o) "
ARGENTINE REPUBLIC,,"Apr. i8 Decree no. 40,331, to issue Regulations for the issue of licences and pilots' certificates for civilian aircraft, (B.O. no. I2,ozz, p. 305)",,,1,,"Apr. i8 Decree no. 40,331, to issue Regulations for the issue of licences and pilots' certificates for civilian aircraft, (B.O. no. I2,ozz, p. 305) "
ARGENTINE REPUBLIC,,"Apr. 30 Decree no. 40,927, to amend section io of the Regulations [of zoth April, 1930] respecting certificates for masters and skippers in the coasting trade. (B.O. no. 11,982, p. 725)",,,1,,"Apr. 30 Decree no. 40,927, to amend section io of the Regulations [of zoth April, 1930] respecting certificates for masters and skippers in the coasting trade. (B.O. no. 11,982, p. 725) "
ARGENTINE REPUBLIC,,"May 24 Decree no. 42,344, to amend the fifth paragraph of section r of the Decree of 25th November, 1931, respecting the fumigation of ships and railway coaches. (B.O. no. ,2,o,I, p. 10,1)",,,1,,"May 24 Decree no. 42,344, to amend the fifth paragraph of section r of the Decree of 25th November, 1931, respecting the fumigation of ships and railway coaches. (B.O. no. ,2,o,I, p. 10,1) "
ARGENTINE REPUBLIC,,"June , Decree no. 42,679, to ratify the amendment of article 393 of the Treaty of Versailles. (B.O. DO. 12,029, p. 660)",,,1,,"June , Decree no. 42,679, to ratify the amendment of article 393 of the Treaty of Versailles. (B.O. DO. 12,029, p. 660) "
ARGENTINE REPUBLIC,,"June x6 Act no. 11,837, respecting shop-closing hours (at 8 p.m.) in the Capital and in the National Territories. (B.O. no. xz,oo8, p. 866)",,,1,,"June x6 Act no. 11,837, respecting shop-closing hours (at 8 p.m.) in the Capital and in the National Territories. (B.O. no. xz,oo8, p. 866) "
